name,team_abbr,season_year,position,games,ppg,rpg,apg,spg,bpg,fg_pct,fg3_pct,ts_pct,headshot
A.C. Green,LAL,1986,F,82,6.4,4.6,0.7,0.6,0.6,0.539,0.167,0.564,
A.C. Green,LAL,1987,F,79,10.8,7.8,1.1,0.9,1.0,0.538,0.0,0.599,
A.C. Green,LAL,1988,F,82,11.4,8.7,1.1,1.1,0.5,0.503,0.0,0.581,
A.C. Green,LAL,1989,F,82,13.3,9.0,1.3,1.1,0.7,0.529,0.235,0.594,
A.C. Green,LAL,1990,F,82,12.9,8.7,1.1,0.8,0.6,0.478,0.283,0.548,
A.C. Green,LAL,1991,F,82,9.1,6.3,0.9,0.7,0.3,0.476,0.2,0.556,
A.C. Green,LAL,1992,F,82,13.6,9.3,1.4,1.1,0.4,0.476,0.214,0.556,
A.C. Green,LAL,1993,F,82,12.8,8.7,1.4,1.1,0.5,0.537,0.348,0.603,
A.C. Green,PHX,1994,F,82,14.7,9.2,1.7,0.9,0.5,0.502,0.229,0.555,
A.C. Green,PHX,1995,F,82,11.2,8.2,1.5,0.7,0.4,0.504,0.339,0.596,
A.C. Green,PHX,1996,F,82,7.5,6.8,0.9,0.5,0.3,0.484,0.269,0.558,
A.C. Green,,1997,F,83,7.2,7.9,0.8,0.8,0.2,0.483,0.05,0.523,
A.C. Green,PHX,1997,F,27,5.7,5.1,0.6,0.7,0.0,0.477,0.0,0.513,
A.C. Green,DAL,1997,F,56,7.9,9.2,0.9,0.9,0.3,0.486,0.059,0.527,
A.C. Green,DAL,1998,F,82,7.3,8.1,1.5,1.0,0.3,0.453,0.0,0.496,
A.C. Green,DAL,1999,F,50,4.9,4.6,0.5,0.6,0.2,0.422,0.0,0.441,
A.C. Green,LAL,2000,F,82,5.0,5.9,1.0,0.6,0.2,0.447,0.25,0.482,
A.C. Green,MIA,2001,F,82,4.5,3.8,0.5,0.4,0.1,0.444,0.0,0.492,
A.J. English,WSB,1991,G,70,8.8,2.1,2.5,0.4,0.2,0.439,0.097,0.48,
A.J. English,WSB,1992,G,81,10.9,2.1,1.8,0.4,0.1,0.433,0.176,0.48,
A.J. Guyton,CHI,2001,G,33,6.0,1.1,1.9,0.3,0.2,0.406,0.391,0.495,
Aaron James,NOJ,1975,F,76,11.7,4.8,0.9,0.5,0.2,0.477,0.0,0.516,
Aaron James,NOJ,1976,F,75,9.0,3.3,0.8,0.4,0.1,0.441,0.0,0.495,
Aaron James,NOJ,1977,F,52,10.9,3.6,1.1,0.4,0.1,0.49,0.0,0.527,
Aaron James,NOJ,1978,F,80,12.2,5.3,1.4,0.5,0.3,0.497,0.0,0.523,
Aaron James,NOJ,1979,F,73,10.0,3.4,1.1,0.4,0.3,0.494,0.0,0.526,
Aaron McKie,POR,1995,G,45,6.5,2.9,2.0,0.8,0.4,0.444,0.393,0.5,
