name,athlete_id,team_abbr,season_year,position,opponent_abbr,game_date,headshot,points,rebounds,assists,steals,blocks,field_goals_made,week
Stephen Curry,3975,GS,2016,G,NO,Oct 27,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,40,6,7,2,0,14,1
Stephen Curry,3975,GS,2016,G,HOU,Oct 30,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,25,7,6,1,0,9,2
Stephen Curry,3975,GS,2016,G,NO,Oct 31,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,53,4,9,4,0,17,3
Stephen Curry,3975,GS,2016,G,MEM,Nov 2,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,30,3,3,3,1,10,4
Stephen Curry,3975,GS,2016,G,LAC,Nov 4,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,31,5,4,1,0,8,5
Stephen Curry,3975,GS,2016,G,DEN,Nov 6,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,34,7,10,3,1,12,6
Stephen Curry,3975,GS,2016,G,MEM,Nov 11,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,28,5,5,5,1,9,7
Stephen Curry,3975,GS,2016,G,MIN,Nov 12,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,46,5,4,2,0,15,8
Stephen Curry,3975,GS,2016,G,BKN,Nov 14,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,34,3,6,1,0,13,9
Stephen Curry,3975,GS,2016,G,TOR,Nov 17,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,37,2,9,2,0,13,10
Stephen Curry,3975,GS,2016,G,LAC,Nov 19,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,40,11,4,3,0,11,11
Stephen Curry,3975,GS,2016,G,CHI,Nov 20,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,27,5,4,4,0,9,12
Stephen Curry,3975,GS,2016,G,PHX,Nov 27,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,41,6,8,2,0,11,13
Stephen Curry,3975,GS,2016,G,UTAH,Nov 30,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,26,6,5,2,0,9,14
Stephen Curry,3975,GS,2016,G,CHA,Dec 2,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,40,3,5,0,0,14,15
Stephen Curry,3975,GS,2016,G,TOR,Dec 5,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,44,2,7,0,0,14,16
Stephen Curry,3975,GS,2016,G,BKN,Dec 6,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,28,5,2,1,0,11,17
Stephen Curry,3975,GS,2016,G,IND,Dec 8,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,29,7,10,3,0,11,18
Stephen Curry,3975,GS,2016,G,BOS,Dec 11,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,38,11,8,2,0,9,19
Stephen Curry,3975,GS,2016,G,MIL,Dec 12,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,28,7,5,1,0,10,20
Stephen Curry,3975,GS,2016,G,PHX,Dec 16,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,25,2,7,1,0,10,21
Stephen Curry,3975,GS,2016,G,MIL,Dec 18,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,26,10,9,2,0,7,22
Stephen Curry,3975,GS,2016,G,SAC,Dec 28,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,23,14,10,2,0,7,23
Stephen Curry,3975,GS,2016,G,CHA,Jan 4,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,30,3,4,2,0,12,24
Stephen Curry,3975,GS,2016,G,POR,Jan 8,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,26,3,9,1,0,8,25
Stephen Curry,3975,GS,2016,G,SAC,Jan 9,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,38,6,11,1,1,12,26
Stephen Curry,3975,GS,2016,G,MIA,Jan 11,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,31,2,6,1,0,11,27
Stephen Curry,3975,GS,2016,G,DEN,Jan 13,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,38,5,9,3,1,13,28
Stephen Curry,3975,GS,2016,G,LAL,Jan 14,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,26,6,3,1,0,9,29
Stephen Curry,3975,GS,2016,G,DET,Jan 16,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,38,7,5,2,0,13,30
Stephen Curry,3975,GS,2016,G,CLE,Jan 18,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,35,5,4,3,0,12,31
Stephen Curry,3975,GS,2016,G,CHI,Jan 20,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,25,7,11,2,1,8,32
Stephen Curry,3975,GS,2016,G,IND,Jan 22,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,39,10,12,1,0,11,33
Stephen Curry,3975,GS,2016,G,SA,Jan 25,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,37,2,3,5,0,12,34
Stephen Curry,3975,GS,2016,G,WSH,Feb 3,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,51,7,2,3,0,19,35
Stephen Curry,3975,GS,2016,G,OKC,Feb 6,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,26,6,10,3,0,10,36
Stephen Curry,3975,GS,2016,G,HOU,Feb 9,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,35,5,9,1,0,12,37
Stephen Curry,3975,GS,2016,G,PHX,Feb 10,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,26,9,9,1,1,9,38
Stephen Curry,3975,GS,2016,G,POR,Feb 19,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,31,3,5,2,0,12,39
Stephen Curry,3975,GS,2016,G,ATL,Feb 22,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,36,6,8,3,0,14,40
Stephen Curry,3975,GS,2016,G,MIA,Feb 24,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,42,7,7,1,1,14,41
Stephen Curry,3975,GS,2016,G,ORL,Feb 25,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,51,7,8,0,1,20,42
Stephen Curry,3975,GS,2016,G,OKC,Feb 27,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,46,3,6,2,0,14,43
Stephen Curry,3975,GS,2016,G,OKC,Mar 3,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,33,4,4,1,1,12,44
Stephen Curry,3975,GS,2016,G,ORL,Mar 7,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,41,13,3,4,0,14,45
Stephen Curry,3975,GS,2016,G,POR,Mar 11,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,34,3,4,2,0,13,46
Stephen Curry,3975,GS,2016,G,PHX,Mar 12,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,35,3,6,0,0,12,47
Stephen Curry,3975,GS,2016,G,NO,Mar 14,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,27,5,5,2,0,10,48
Stephen Curry,3975,GS,2016,G,NY,Mar 16,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,34,6,4,0,0,12,49
Stephen Curry,3975,GS,2016,G,DAL,Mar 18,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,31,9,10,2,0,12,50
Stephen Curry,3975,GS,2016,G,LAC,Mar 23,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,33,4,5,3,0,12,51
Stephen Curry,3975,GS,2016,G,DAL,Mar 25,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,33,8,8,4,0,9,52
Stephen Curry,3975,GS,2016,G,WSH,Mar 29,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,26,7,7,5,0,9,53
Stephen Curry,3975,GS,2016,G,UTAH,Mar 30,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,31,7,4,2,0,11,54
Stephen Curry,3975,GS,2016,G,BOS,Apr 1,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,29,5,6,1,0,9,55
Stephen Curry,3975,GS,2016,G,POR,Apr 3,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,39,6,7,2,1,13,56
Stephen Curry,3975,GS,2016,G,MIN,Apr 5,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,21,6,15,3,0,7,57
Stephen Curry,3975,GS,2016,G,SA,Apr 7,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,27,5,9,2,0,11,58
Stephen Curry,3975,GS,2016,G,SA,Apr 10,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,37,5,5,2,0,13,59
Stephen Curry,3975,GS,2016,G,MEM,Apr 13,https://a.espncdn.com/i/headshots/nba/players/full/3975.png,46,4,6,2,0,15,60
Trey Lyles,3136196,UTAH,2016,F,LAL,Apr 13,https://a.espncdn.com/i/headshots/nba/players/full/3136196.png,18,11,3,5,0,7,1
Kobe Bryant,110,LAL,2016,F,WSH,Dec 2,https://a.espncdn.com/i/headshots/nba/players/full/110.png,31,2,3,1,0,10,1
Kobe Bryant,110,LAL,2016,F,HOU,Dec 12,https://a.espncdn.com/i/headshots/nba/players/full/110.png,25,7,6,3,0,9,2
Kobe Bryant,110,LAL,2016,F,DEN,Dec 22,https://a.espncdn.com/i/headshots/nba/players/full/110.png,31,3,5,1,1,10,3
Kobe Bryant,110,LAL,2016,F,SAC,Jan 7,https://a.espncdn.com/i/headshots/nba/players/full/110.png,28,2,3,0,1,10,4
Kobe Bryant,110,LAL,2016,F,MIN,Feb 2,https://a.espncdn.com/i/headshots/nba/players/full/110.png,38,5,5,2,0,10,5
Kobe Bryant,110,LAL,2016,F,NO,Feb 4,https://a.espncdn.com/i/headshots/nba/players/full/110.png,27,12,2,2,0,10,6
Kobe Bryant,110,LAL,2016,F,SA,Feb 6,https://a.espncdn.com/i/headshots/nba/players/full/110.png,25,2,4,0,1,9,7
Kobe Bryant,110,LAL,2016,F,SA,Feb 19,https://a.espncdn.com/i/headshots/nba/players/full/110.png,25,4,3,1,0,10,8
Kobe Bryant,110,LAL,2016,F,CLE,Mar 10,https://a.espncdn.com/i/headshots/nba/players/full/110.png,26,5,2,1,1,11,9
Kobe Bryant,110,LAL,2016,F,DEN,Mar 25,https://a.espncdn.com/i/headshots/nba/players/full/110.png,28,4,0,0,0,10,10
Kobe Bryant,110,LAL,2016,F,BOS,Apr 3,https://a.espncdn.com/i/headshots/nba/players/full/110.png,34,4,1,3,0,11,11
Kobe Bryant,110,LAL,2016,F,HOU,Apr 10,https://a.espncdn.com/i/headshots/nba/players/full/110.png,35,2,1,2,0,10,12
Kobe Bryant,110,LAL,2016,F,UTAH,Apr 13,https://a.espncdn.com/i/headshots/nba/players/full/110.png,60,4,4,1,1,22,13
Jusuf Nurkic,3102530,DEN,2016,C,MIN,Jan 6,https://a.espncdn.com/i/headshots/nba/players/full/3102530.png,15,10,2,0,5,6,1
