normalized_name,country,code
aalborg,Denmark,AALD
aalesunds fotballklubb,Norway,AFOT
aberdeen,Scotland,ABES
adana demirspor,Turkey,ADEM
adelaide united,Australia,ADUN
ajaccio,France,AJAF
al fayha,Saudi Arabia,AFAY
al khaleej saihat,Saudi Arabia,AKHA
al kholood,Saudi Arabia,AKHO
al najma,Saudi Arabia,ANAJ
al nassr,Saudi Arabia,ANAS
al riyadh saudi,Saudi Arabia,ARIY
al taawoun,Saudi Arabia,ATAA
alanyaspor,Turkey,ALAT
ao platanias,Greece,APLA
aps atromitos athinon,Greece,AATR
aris thessalonikis,Greece,ATHE
arouca,Portugal,AROP
arsenal tula,Russia,ATUL
asfc buzau,Romania,ABUZ
asociación atlética estudiantes,Argentina,AATL
asociación deportivo pasto,,ADEP
asociația fotbal botoșani,Romania,ASFO
asociația fotbal hermannstadt,Romania,ASOR
asociația fotbal unirea slobozia,Romania,ASOC
asociația fotbal uta arad,Romania,AFO2
asociația futball klub csíkszereda miercurea ciuc,Romania,AFUT
athens kallithea,Greece,AKAL
athlitiki enosi konstantinoupoleos,Greece,AENO
athlitiki enosi larisas,Greece,ATEN
atlanta united,United States,AUNI
atlético barracas central,Argentina,ABAR
atlético san luis,Mexico,ASAN
atlético sarmiento,Argentina,ASAR
atlético talleres,Argentina,ATAL
balikesirspor,Turkey,BALT
benevento,Italy,BENI
brescia,Italy,BREI
brisbane roar,Australia,BROA
bursaspor,Turkey,BURT
coritiba foot ball,Brazil,CFOO
cruzeiro esporte,Brazil,CESP
dallas,United States,DALU
dc united,United States,DCUN
deportes tolima,,DETO
deportivo pereira,,DPER
deportivo toluca,Mexico,DTOL
dundee united,Scotland,DUNI
fudbalski klub imt novi beograd,Serbia,FKLU
fudbalski klub javor matis ivanjica,Serbia,FUKL
fudbalski klub mladost lučani,Serbia,FUDS
fudbalski klub napredak kruševac,Serbia,FUDB
fudbalski klub novi pazar,Serbia,FKL2
fudbalski klub partizan beograd,Serbia,FKL3
fudbalski klub radnik surdulica,Serbia,FKL4
fudbalski klub radnički niš,Serbia,FKL5
fudbalski klub spartak ždrepčeva krv,Serbia,FKL6
fudbalski klub tsc bačka topola,Serbia,FKL7
fudbalski klub vojvodina,Serbia,FKL8
fudbalski klub čukarički beograd,Serbia,FKL9
futbolniy klub dynamo kyiv,Ukraine,FUTU
fußballclub red bull salzburg,Austria,FRED
gaziantepspor,Turkey,GAZT
giresunspor,Turkey,GIRT
godoy cruz antonio tomba,Argentina,GCRU
göteborgs atlet och idrottssällskap,Sweden,GATL
halmstads,Sweden,HALS
hamarkameratene,Norway,HAMN
hammarby if,Sweden,HAIF
hatayspor,Turkey,HATT
idrettsklubben start,Norway,ISTA
internacional,Brazil,INTB
istra,Croatia,ISTC
jef united,Japan,JUNI
kfum kameratene oslo,Norway,KKAM
klub sportowy górnik zabrze sportowa spółka akcyjna,Poland,KSPO
klub sportowy lechia gdańsk,Poland,KLSP
kolos kovalivka,Ukraine,KKOV
krasnodar,Russia,KRAR
kryvbas kryvyi rig,Ukraine,KKRY
livingston,Scotland,LIVS
los angeles galaxy,United States,LANG
malmö fotbollförening,Sweden,MFOT
mariupol,Ukraine,MARU
melbourne city,Australia,MCIT
millonarios,,MILX
minnesota united,United States,MUNI
monza,Italy,MONI
morski klub sportowy pogoń szczecin,Poland,MKLU
panionios athens,Greece,PATH
panthessalonikios athlitikos omilos konstantinoupoliton,Greece,PAAT
pardubice,Czech Republic,PARC
parma,Italy,PARI
pendikspor,Turkey,PENT
pfk stal kamyanske,Ukraine,PSTA
real valladolid,Spain,RVAL
red bull new york,United States,RBUL
regatas vasco gama,Brazil,RVAS
reial deportiu espanyol barcelona,Spain,RDEP
royal anderlecht,Belgium,RAND
royal antwerp,Belgium,RANT
royal standard liège,Belgium,RSTA
rwd molenbeek,Belgium,RMOL
san jose earthquakes,United States,SJOS
san martín san juan,Argentina,SMAR
sandefjord fotball,Norway,SFOT
sarpsborg fotballforening,Norway,SAFO
sc cambuur leeuwarden,Netherlands,SCAM
sc dinamo,Romania,SDIN
sc fotbal fcsb,Romania,SCFO
sevastopol,Ukraine,SEVU
shonan bellmare,Japan,SHBE
sigma olomouc,Czech Republic,SOLO
slaven belupo koprivnica,Croatia,SBEL
slovácko,Czech Republic,SLOC
spal,Italy,SPAI
sparta praha,Czech Republic,SPRA
spartak moskva,Russia,SMOS
sportsklubben brann,Norway,SBRA
st pauli von,Germany,SPAU
stade rennais,France,SREN
stal mielec,Poland,SMIE
sunderland,England,SUNE
swansea city,England,SCIT
são paulo,Brazil,SÃPA
toronto,United States,TORU
turn sportverein egger glas hartberg,Austria,TSPO
unione sportiva lecce,Italy,USPO
unione sportiva sassuolo,Italy,UNSP
unión magdalena,,UMAG
us salernitana,Italy,USAL
valenciennes,France,VALF
varazdin,Croatia,VARC
vejle boldklub,Denmark,VBOL
viking fotballklubb,Norway,VFOT
wigan athletic,England,WATH
yokohama marinos,Japan,YMAR
zorya lugansk,Ukraine,ZLUG
montréal,USA (MLS),MTL
monterrey,Mexico,MTY
montpellier,France,MTP
minnesota united,USA (MLS),MNU
pumas unam,Mexico,PUM
