name,team_abbr,season_year,position,appearances,goals,assists,clean_sheets,headshot
Erling Haaland,MCI,2023,FW,35,36,8,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Erling_Haaland_Morocco_v_Norway_7_June_2026-51.jpg/330px-Erling_Haaland_Morocco_v_Norway_7_June_2026-51.jpg
Lionel Messi,FCB,2012,FW,37,50,16,0,https://nhccgufqwndtoasdbkhc.supabase.co/storage/v1/object/public/player-headshots/soccer/dba59852e26ecc1ef620.jpg
Cristiano Ronaldo,RMA,2015,FW,35,48,16,0,https://nhccgufqwndtoasdbkhc.supabase.co/storage/v1/object/public/player-headshots/soccer/25ebd98953ba4600b84d.jpg
Mohamed Salah,LIV,2018,FW,36,32,10,0,https://nhccgufqwndtoasdbkhc.supabase.co/storage/v1/object/public/player-headshots/soccer/509dfd2ee9c6a28ac5f9.jpg
Robert Lewandowski,BAY,2021,FW,29,41,7,0,https://nhccgufqwndtoasdbkhc.supabase.co/storage/v1/object/public/player-headshots/soccer/edad5d0ef563881e933f.jpg
Kylian Mbappe,PSG,2019,FW,29,33,7,0,https://nhccgufqwndtoasdbkhc.supabase.co/storage/v1/object/public/player-headshots/soccer/969529671345065a5004.jpg
Kevin De Bruyne,MCI,2020,MF,35,8,20,0,https://nhccgufqwndtoasdbkhc.supabase.co/storage/v1/object/public/player-headshots/soccer/81c06667fa16b652d3f8.jpg
Harry Kane,TOT,2018,FW,37,30,2,0,https://nhccgufqwndtoasdbkhc.supabase.co/storage/v1/object/public/player-headshots/soccer/2c5f507afd2b35ae4d6b.jpg
Karim Benzema,RMA,2022,FW,32,27,12,0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Karim_Benzema_Pick.jpg/330px-Karim_Benzema_Pick.jpg
Petr Cech,CHE,2005,GK,38,0,0,24,https://nhccgufqwndtoasdbkhc.supabase.co/storage/v1/object/public/player-headshots/soccer/c19fd91ef2f23508d86d.jpg
Virgil van Dijk,LIV,2019,DF,36,0,1,21,https://nhccgufqwndtoasdbkhc.supabase.co/storage/v1/object/public/player-headshots/soccer/82d5307026607b2aaf21.jpg
Ederson,MCI,2019,GK,34,0,0,20,https://nhccgufqwndtoasdbkhc.supabase.co/storage/v1/object/public/player-headshots/soccer/e2ec3359b334126a47f8.jpg
Alisson Becker,LIV,2019,GK,38,0,0,21,https://nhccgufqwndtoasdbkhc.supabase.co/storage/v1/object/public/player-headshots/soccer/58802c8550ef5fa764b1.jpg
David de Gea,MUN,2018,GK,37,0,0,18,https://nhccgufqwndtoasdbkhc.supabase.co/storage/v1/object/public/player-headshots/soccer/128a515a241b2c7eec99.jpg
Nick Pope,BUR,2022,GK,36,0,0,15,https://nhccgufqwndtoasdbkhc.supabase.co/storage/v1/object/public/player-headshots/soccer/06dc6fe4ae2d4aa15055.jpg
Emiliano Martinez,AVL,2023,GK,36,0,0,14,https://nhccgufqwndtoasdbkhc.supabase.co/storage/v1/object/public/player-headshots/soccer/de36afd7f818fed6d6f6.jpg
Thibaut Courtois,RMA,2022,GK,34,0,0,17,https://nhccgufqwndtoasdbkhc.supabase.co/storage/v1/object/public/player-headshots/soccer/fdb3f78c7ce459dd085c.jpg
Pepe Reina,LIV,2006,GK,33,0,0,20,https://nhccgufqwndtoasdbkhc.supabase.co/storage/v1/object/public/player-headshots/soccer/4d6f5a15b462f64c3d50.jpg
Pepe Reina,LIV,2007,GK,35,0,0,19,https://nhccgufqwndtoasdbkhc.supabase.co/storage/v1/object/public/player-headshots/soccer/4d6f5a15b462f64c3d50.jpg
