team_abbr,league,full_name,espn_id,logo_url,primary_color,secondary_color,competition
AMG,Brazil,Atlético-MG,7632,https://a.espncdn.com/i/teamlogos/soccer/500/7632.png,#000000,#fafafc,bra.1
AMI,Brazil,América Mineiro,6154,https://a.espncdn.com/i/teamlogos/soccer/500/6154.png,#417505,#fafafc,bra.1
APA,Brazil,Athletico Paranaense,3458,https://a.espncdn.com/i/teamlogos/soccer/500/3458.png,#D80518,#C60000,bra.1
BAH,Brazil,Bahia,9967,https://a.espncdn.com/i/teamlogos/soccer/500/9967.png,#C60000,#0093EC,bra.1
BOT,Brazil,Botafogo,6086,https://a.espncdn.com/i/teamlogos/soccer/500/6086.png,#000000,#fafafc,bra.1
COR,Brazil,Corinthians,874,https://a.espncdn.com/i/teamlogos/soccer/500/874.png,#000000,#fafafc,bra.1
CRU,Brazil,Cruzeiro,2022,https://a.espncdn.com/i/teamlogos/soccer/500/2022.png,#0093EC,#fafafc,bra.1
CUI,Brazil,Cuiabá,17313,https://a.espncdn.com/i/teamlogos/soccer/500/17313.png,#004526,#FFD65A,bra.1
FLA,Brazil,Flamengo,819,https://a.espncdn.com/i/teamlogos/soccer/500/819.png,#C60000,#000000,bra.1
FLU,Brazil,Fluminense,3445,https://a.espncdn.com/i/teamlogos/soccer/500/3445.png,#7E0202,#417505,bra.1
FOR,Brazil,Fortaleza,6272,https://a.espncdn.com/i/teamlogos/soccer/500/6272.png,,,bra.1
GOI,Brazil,Goiás,3395,https://a.espncdn.com/i/teamlogos/soccer/500/3395.png,#417505,#fafafc,bra.1
GRÊ,Brazil,Grêmio,6273,https://a.espncdn.com/i/teamlogos/soccer/500/6273.png,#0093EC,#000000,bra.1
INTB,Brazil,Internacional,1936,https://a.espncdn.com/i/teamlogos/soccer/500/1936.png,#C60000,#000000,bra.1
PAL,Brazil,Palmeiras,2029,https://a.espncdn.com/i/teamlogos/soccer/500/2029.png,#417505,#fafafc,bra.1
RBU,Brazil,Red Bull Bragantino,6079,https://a.espncdn.com/i/teamlogos/soccer/500/6079.png,#000000,#fafafc,bra.1
SAN,Brazil,Santos,2674,https://a.espncdn.com/i/teamlogos/soccer/500/2674.png,#000000,#fafafc,bra.1
SÃPA,Brazil,São Paulo,2026,https://a.espncdn.com/i/teamlogos/soccer/500/2026.png,#C60000,#000000,bra.1
VGA,Brazil,Vasco da Gama,3454,https://a.espncdn.com/i/teamlogos/soccer/500/3454.png,#000000,#fafafc,bra.1
ARS,England,Arsenal,359,https://a.espncdn.com/i/teamlogos/soccer/500/359.png,#e20520,#003399,eng.1
AVL,England,Aston Villa,362,https://a.espncdn.com/i/teamlogos/soccer/500/362.png,#660e36,#333333,eng.1
BHA,England,Brighton & Hove Albion,331,https://a.espncdn.com/i/teamlogos/soccer/500/331.png,#0606fa,#ffdd00,eng.1
BOU,England,AFC Bournemouth,349,https://a.espncdn.com/i/teamlogos/soccer/500/349.png,#f42727,#0000CC,eng.1
BRE,England,Brentford,337,https://a.espncdn.com/i/teamlogos/soccer/500/337.png,#f42727,#f8ced9,eng.1
BUR,England,Burnley,379,https://a.espncdn.com/i/teamlogos/soccer/500/379.png,#6C1D45,#00FFFF,eng.1
CHE,England,Chelsea,363,https://a.espncdn.com/i/teamlogos/soccer/500/363.png,#144992,#FFFFFF,eng.1
CRY,England,Crystal Palace,384,https://a.espncdn.com/i/teamlogos/soccer/500/384.png,#0202fb,#ffdd00,eng.1
EVE,England,Everton,368,https://a.espncdn.com/i/teamlogos/soccer/500/368.png,#0606fa,#132257,eng.1
FUL,England,Fulham,370,https://a.espncdn.com/i/teamlogos/soccer/500/370.png,#ffffff,#00CC00,eng.1
LIV,England,Liverpool,364,https://a.espncdn.com/i/teamlogos/soccer/500/364.png,#d11317,#FFFFFF,eng.1
LTO,England,Luton Town,301,https://a.espncdn.com/i/teamlogos/soccer/500/301.png,#ff4f00,#1D428A,eng.1
MCI,England,Manchester City,382,https://a.espncdn.com/i/teamlogos/soccer/500/382.png,#99c5ea,#000000,eng.1
MUN,England,Manchester United,360,https://a.espncdn.com/i/teamlogos/soccer/500/360.png,#da020e,#FFFFFF,eng.1
NEW,England,Newcastle United,361,https://a.espncdn.com/i/teamlogos/soccer/500/361.png,#000000,#ffffff,eng.1
NFO,England,Nottingham Forest,393,https://a.espncdn.com/i/teamlogos/soccer/500/393.png,#c8102e,#132257,eng.1
SUN,England,Sheffield United,398,https://a.espncdn.com/i/teamlogos/soccer/500/398.png,#f42727,#1D428A,eng.1
TOT,England,Tottenham Hotspur,367,https://a.espncdn.com/i/teamlogos/soccer/500/367.png,#ffffff,#000000,eng.1
WHU,England,West Ham United,371,https://a.espncdn.com/i/teamlogos/soccer/500/371.png,#7c2c3b,#F1E7E0,eng.1
WOL,England,Wolverhampton Wanderers,380,https://a.espncdn.com/i/teamlogos/soccer/500/380.png,#fdb913,#32A8DD,eng.1
BRE,France,Brest,6997,https://a.espncdn.com/i/teamlogos/soccer/500/6997.png,#ef2f24,#ffffff,fra.1
CFO,France,Clermont Foot,3171,https://a.espncdn.com/i/teamlogos/soccer/500/3171.png,#8C3140,#ffffff,fra.1
HAV,France,Le Havre AC,3236,https://a.espncdn.com/i/teamlogos/soccer/500/3236.png,#011F68,#ededed,fra.1
LEN,France,Lens,175,https://a.espncdn.com/i/teamlogos/soccer/500/175.png,#E91514,#004c37,fra.1
LIL,France,Lille,166,https://a.espncdn.com/i/teamlogos/soccer/500/166.png,#c2051b,#e2d3d7,fra.1
LOR,France,Lorient,273,https://a.espncdn.com/i/teamlogos/soccer/500/273.png,#f46100,#1a1a1a,fra.1
LYO,France,Lyon,167,https://a.espncdn.com/i/teamlogos/soccer/500/167.png,#ffffff,#1a1a1a,fra.1
MAR,France,Marseille,176,https://a.espncdn.com/i/teamlogos/soccer/500/176.png,#ffffff,#011F68,fra.1
MET,France,Metz,177,https://a.espncdn.com/i/teamlogos/soccer/500/177.png,#8C3140,#e6c168,fra.1
MON,France,AS Monaco,174,https://a.espncdn.com/i/teamlogos/soccer/500/174.png,#E91514,#004c37,fra.1
MTP,France,Montpellier,274,https://a.espncdn.com/i/teamlogos/soccer/500/274.png,#011F68,#ffffff,fra.1
NAN,France,Nantes,165,https://a.espncdn.com/i/teamlogos/soccer/500/165.png,#ffff00,#011F68,fra.1
NIC,France,Nice,2502,https://a.espncdn.com/i/teamlogos/soccer/500/2502.png,#ef2f24,#e2d3d7,fra.1
PSG,France,Paris Saint-Germain,160,https://a.espncdn.com/i/teamlogos/soccer/500/160.png,#011F68,#ffffff,fra.1
SRE,France,Stade de Reims,3243,https://a.espncdn.com/i/teamlogos/soccer/500/3243.png,#ef2f24,#0000bf,fra.1
SREN,France,Stade Rennais,169,https://a.espncdn.com/i/teamlogos/soccer/500/169.png,#ef2f24,#ffffff,fra.1
STR,France,Strasbourg,180,https://a.espncdn.com/i/teamlogos/soccer/500/180.png,#0000bf,#ffffff,fra.1
TOU,France,Toulouse,179,https://a.espncdn.com/i/teamlogos/soccer/500/179.png,#560080,#ffff00,fra.1
AUG,Germany,FC Augsburg,3841,https://a.espncdn.com/i/teamlogos/soccer/500/3841.png,#ffffff,#03915c,ger.1
BAY,Germany,Bayern Munich,132,https://a.espncdn.com/i/teamlogos/soccer/500/132.png,#dc052d,#1a1a1a,ger.1
BMG,Germany,Borussia Mönchengladbach,268,https://a.espncdn.com/i/teamlogos/soccer/500/268.png,#ffffff,#03915c,ger.1
BVB,Germany,Borussia Dortmund,124,https://a.espncdn.com/i/teamlogos/soccer/500/124.png,#ffee00,#272726,ger.1
COL,Germany,FC Cologne,122,https://a.espncdn.com/i/teamlogos/soccer/500/122.png,#ffffff,#DA0308,ger.1
DAR,Germany,SV Darmstadt 98,3812,https://a.espncdn.com/i/teamlogos/soccer/500/3812.png,#003399,#fafafc,ger.1
EIN,Germany,Eintracht Frankfurt,125,https://a.espncdn.com/i/teamlogos/soccer/500/125.png,#ffffff,#272726,ger.1
ELV,Germany,SV Elversberg,10388,https://a.espncdn.com/i/teamlogos/soccer/500/10388.png,#000000,#FFFFFF,ger.2
FDÜ,Germany,Fortuna Düsseldorf,9707,https://a.espncdn.com/i/teamlogos/soccer/500/9707.png,#ffffff,#1a1a1a,ger.2
HAM,Germany,Hamburg SV,127,https://a.espncdn.com/i/teamlogos/soccer/500/127.png,#1a26af,#1a1a1a,ger.2
HAN,Germany,Hannover 96,2428,https://a.espncdn.com/i/teamlogos/soccer/500/2428.png,#179D33,#1a1a1a,ger.2
HBE,Germany,Hertha Berlin,129,https://a.espncdn.com/i/teamlogos/soccer/500/129.png,#0000dd,#091453,ger.2
HEI,Germany,1. FC Heidenheim 1846,6418,https://a.espncdn.com/i/teamlogos/soccer/500/6418.png,#DA0308,#003399,ger.1
HKI,Germany,Holstein Kiel,7884,https://a.espncdn.com/i/teamlogos/soccer/500/7884.png,#0754ba,#f9fbfc,ger.2
HRO,Germany,Hansa Rostock,128,https://a.espncdn.com/i/teamlogos/soccer/500/128.png,#324CBA,#C60000,ger.2
KAI,Germany,Kaiserslautern,130,https://a.espncdn.com/i/teamlogos/soccer/500/130.png,#8C273D,#1a1a1a,ger.2
