name,team_abbr,season_year,position,appearances,goals,assists,clean_sheets,headshot,league,competition
A.J. Soares,AGY,2016,DF,6,1,0,1,https://img.a.transfermarkt.technology/portrait/header/176850-1601203162.jpg?lm=1,Denmark,den.1
AJ Leitch-Smith,DUN,2018,FW,26,6,5,0,https://img.a.transfermarkt.technology/portrait/header/s_115608_1042_2013_01_04_1.jpg?lm=1,Scotland,sco.1
Aaron Appindangoyé,BOA,2015,DF,9,0,0,3,https://img.a.transfermarkt.technology/portrait/header/254249-1693401355.png?lm=1,Portugal,por.1
Aaron Appindangoyé,SIV,2020,DF,34,0,0,10,https://img.a.transfermarkt.technology/portrait/header/254249-1693401355.png?lm=1,Turkey,tur.1
Aaron Appindangoyé,SIV,2021,DF,13,0,0,2,https://img.a.transfermarkt.technology/portrait/header/254249-1693401355.png?lm=1,Turkey,tur.1
Aaron Appindangoyé,SIV,2023,DF,18,0,0,4,https://img.a.transfermarkt.technology/portrait/header/254249-1693401355.png?lm=1,Turkey,tur.1
Aaron Appindangoyé,SIV,2024,DF,31,1,2,9,https://img.a.transfermarkt.technology/portrait/header/254249-1693401355.png?lm=1,Turkey,tur.1
Aaron Bibout,KRA,2026,FW,10,3,0,0,https://img.a.transfermarkt.technology/portrait/header/1122196-1740776089.jpg?lm=1,Belgium,bel.1
Aaron Boupendza,HATT,2021,FW,36,22,1,0,https://img.a.transfermarkt.technology/portrait/header/427605-1744800699.png?lm=1,Turkey,tur.1
Aaron Bouwman,AJA,2026,DF,8,1,0,5,https://img.a.transfermarkt.technology/portrait/header/987366-1754855205.jpg?lm=1,Netherlands,ned.1
Aaron Chapman,MOT,2021,GK,6,0,0,2,https://img.a.transfermarkt.technology/portrait/header/270571-1624368894.jpg?lm=1,Scotland,sco.1
Aaron Connolly,BHA,2020,FW,24,3,2,0,https://img.a.transfermarkt.technology/portrait/header/434207-1614851750.jpg?lm=1,England,eng.1
Aaron Connolly,BHA,2021,FW,17,2,1,0,https://img.a.transfermarkt.technology/portrait/header/434207-1614851750.jpg?lm=1,England,eng.1
Aaron Cresswell,WHU,2015,DF,38,2,4,9,https://img.a.transfermarkt.technology/portrait/header/92571-1700670925.jpg?lm=1,England,eng.1
Aaron Cresswell,WHU,2016,DF,37,2,4,11,https://img.a.transfermarkt.technology/portrait/header/92571-1700670925.jpg?lm=1,England,eng.1
