name,country,season_year,matches_won,matches_lost,titles,grand_slams,headshot
Barry Phillips Moore,AUS,1968,14,8,0,0,https://upload.wikimedia.org/wikipedia/commons/5/59/Barry_Phillips-Moore_1970.jpg
Ray Ruffels,AUS,1968,14,9,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Australian_Institute_of_Sport_coaches_-_Ray_Ruffels.jpg/330px-Australian_Institute_of_Sport_coaches_-_Ray_Ruffels.jpg
Rod Laver,AUS,1968,27,4,2,1,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Tennis_%27great%27%2C_Rod_Laver_%28cropped%29.jpg/330px-Tennis_%27great%27%2C_Rod_Laver_%28cropped%29.jpg
Cliff Drysdale,RSA,1968,16,4,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/CliffDrysdale_%28cropped%29.jpg/330px-CliffDrysdale_%28cropped%29.jpg
Tony Roche,AUS,1968,14,5,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/TONY_ROCHE.jpg/330px-TONY_ROCHE.jpg
Tom Okker,NED,1968,24,6,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Tom_Okker.jpg/330px-Tom_Okker.jpg
Marty Riessen,USA,1968,11,6,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Marty_Riessen_1968.jpg/330px-Marty_Riessen_1968.jpg
Dennis Ralston,USA,1968,11,4,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Top_Tennis_Toernooi_1969_in_Amsterdam_D._Ralston_%2C_aktie%2C_Bestanddeelnr_922-4467.jpg/330px-Top_Tennis_Toernooi_1969_in_Amsterdam_D._Ralston_%2C_aktie%2C_Bestanddeelnr_922-4467.jpg
Andres Gimeno,ESP,1968,14,6,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Andr%C3%A9s_Gimeno%2C_Bestanddeelnr_922-4574_%28cropped%29.jpg/330px-Andr%C3%A9s_Gimeno%2C_Bestanddeelnr_922-4574_%28cropped%29.jpg
Richard Pancho Gonzales,USA,1968,14,5,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Pancho_Gonzales.jpg/330px-Pancho_Gonzales.jpg
Ken Rosewall,AUS,1968,25,3,2,1,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Ken_Rosewall_portrait.jpg/330px-Ken_Rosewall_portrait.jpg
Roy Emerson,AUS,1968,17,5,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Roy_Emerson_2011.jpg/330px-Roy_Emerson_2011.jpg
John Newcombe,AUS,1968,16,4,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/John_Newcombe_1968.jpg/330px-John_Newcombe_1968.jpg
Nikola Pilic,CRO,1968,10,5,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Nikola_Pili%C4%87_1975.jpg/330px-Nikola_Pili%C4%87_1975.jpg
Arthur Ashe,USA,1968,34,4,2,1,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Arthur_Ashe_%28cropped%29.jpg/330px-Arthur_Ashe_%28cropped%29.jpg
Jose Mandarino,BRA,1968,10,5,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Jos%C3%A9_Edison_Mandarino_%281968%29.jpg/330px-Jos%C3%A9_Edison_Mandarino_%281968%29.jpg
Nicola Pietrangeli,ITA,1968,14,7,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Nicola_Pietrangeli_cropped.jpg/330px-Nicola_Pietrangeli_cropped.jpg
Thomaz Koch,BRA,1968,14,9,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Thomaz_Koch.jpg/330px-Thomaz_Koch.jpg
Bob Carmichael,AUS,1968,12,5,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Bob_Carmichael.jpg/330px-Bob_Carmichael.jpg
Martin Mulligan,AUS,1968,19,3,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Martin_Mulligan_1968.jpg/330px-Martin_Mulligan_1968.jpg
Gerald Battrick,GBR,1968,8,8,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Internationale_tenniskampioenschappen_te_Hilversum%2C_G_Battrick_met_beker%2C_Bestanddeelnr_924-7801.jpg/330px-Internationale_tenniskampioenschappen_te_Hilversum%2C_G_Battrick_met_beker%2C_Bestanddeelnr_924-7801.jpg
Torben Ulrich,DEN,1968,9,8,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Torben_Ulrich_1957.jpg/330px-Torben_Ulrich_1957.jpg
Bob Hewitt,RSA,1968,19,5,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Bob_Hewitt_%281967%29.jpg/330px-Bob_Hewitt_%281967%29.jpg
Cliff Richey,USA,1968,10,5,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Cliff_Richey_1972.jpg/330px-Cliff_Richey_1972.jpg
Jan Kodes,CZE,1968,7,8,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Jan_Kode%C5%A1.JPG/330px-Jan_Kode%C5%A1.JPG
Milan Holecek,CZE,1968,19,8,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Milan_Hole%C4%8Dek_1969.jpg/330px-Milan_Hole%C4%8Dek_1969.jpg
Istvan Gulyas,HUN,1968,11,6,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Istv%C3%A1n_Guly%C3%A1s_%281964%29.jpg/330px-Istv%C3%A1n_Guly%C3%A1s_%281964%29.jpg
Wilhelm Bungert,GER,1968,21,4,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Wilhelm_Bungert_1965.jpg/330px-Wilhelm_Bungert_1965.jpg
Ion Tiriac,ROU,1968,12,3,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Ion_Tiriac.jpg/330px-Ion_Tiriac.jpg
Manuel Santana,ESP,1968,12,3,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/MSantana.jpg/330px-MSantana.jpg
Nikola Pilic,CRO,1969,13,10,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Nikola_Pili%C4%87_1975.jpg/330px-Nikola_Pili%C4%87_1975.jpg
Pierre Barthes,FRA,1969,14,14,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Pierre_Barth%C3%A8s_%281974%29.jpg/330px-Pierre_Barth%C3%A8s_%281974%29.jpg
Owen Davidson,AUS,1969,11,9,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Owen_Davidson.jpg/330px-Owen_Davidson.jpg
Tony Roche,AUS,1969,43,9,3,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/TONY_ROCHE.jpg/330px-TONY_ROCHE.jpg
Cliff Drysdale,RSA,1969,15,10,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/CliffDrysdale_%28cropped%29.jpg/330px-CliffDrysdale_%28cropped%29.jpg
Tom Okker,NED,1969,43,11,3,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Tom_Okker.jpg/330px-Tom_Okker.jpg
Ion Tiriac,ROU,1969,19,12,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Ion_Tiriac.jpg/330px-Ion_Tiriac.jpg
Ilie Nastase,ROU,1969,24,14,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Ilie_N%C4%83stase_2009_US_Open_02.jpg/330px-Ilie_N%C4%83stase_2009_US_Open_02.jpg
Marty Riessen,USA,1969,17,12,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Marty_Riessen_1968.jpg/330px-Marty_Riessen_1968.jpg
John Newcombe,AUS,1969,48,14,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/John_Newcombe_1968.jpg/330px-John_Newcombe_1968.jpg
Ron Holmberg,USA,1969,8,9,0,0,https://upload.wikimedia.org/wikipedia/commons/a/a1/Ron_holmberg_west_point_hof.jpg
Mike Belkin,CAN,1969,15,6,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Tennis_Nederland_tegen_Canada_voor_de_Davis_Cup_te_Scheveningen_Canadese_kampioe%2C_Bestanddeelnr_922-3990.jpg/330px-Tennis_Nederland_tegen_Canada_voor_de_Davis_Cup_te_Scheveningen_Canadese_kampioe%2C_Bestanddeelnr_922-3990.jpg
Dick Crealy,AUS,1969,15,12,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Dick_Crealy_portrait.png/330px-Dick_Crealy_portrait.png
Cliff Richey,USA,1969,30,8,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Cliff_Richey_1972.jpg/330px-Cliff_Richey_1972.jpg
Charlie Pasarell,USA,1969,16,11,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Charlie_Pasarell_in_Over_35s_Doubles_Wimbledon_1985.jpg/330px-Charlie_Pasarell_in_Over_35s_Doubles_Wimbledon_1985.jpg
Ismail El Shafei,EGY,1969,13,6,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Isamil_El_Shafei.jpg/330px-Isamil_El_Shafei.jpg
Zeljko Franulovic,CRO,1969,23,11,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Franulovic_%28Joegoslavi%C3%AB%29_in_aktie%2C_Bestanddeelnr_928-0573.jpg/330px-Franulovic_%28Joegoslavi%C3%AB%29_in_aktie%2C_Bestanddeelnr_928-0573.jpg
Arthur Ashe,USA,1969,33,11,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Arthur_Ashe_%28cropped%29.jpg/330px-Arthur_Ashe_%28cropped%29.jpg
Bill Bowrey,AUS,1969,15,10,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Bill_Bowrey.jpg/330px-Bill_Bowrey.jpg
Jaime Fillol,CHI,1969,11,12,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Jaime_Fillol_%281973%29.jpg/330px-Jaime_Fillol_%281973%29.jpg
Stan Smith,USA,1969,26,9,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Stan_Smith_2009_US_Open_01.jpg/330px-Stan_Smith_2009_US_Open_01.jpg
Rod Laver,AUS,1969,45,5,6,4,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Tennis_%27great%27%2C_Rod_Laver_%28cropped%29.jpg/330px-Tennis_%27great%27%2C_Rod_Laver_%28cropped%29.jpg
Thomaz Koch,BRA,1969,16,9,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Thomaz_Koch.jpg/330px-Thomaz_Koch.jpg
Dennis Ralston,USA,1969,15,7,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Top_Tennis_Toernooi_1969_in_Amsterdam_D._Ralston_%2C_aktie%2C_Bestanddeelnr_922-4467.jpg/330px-Top_Tennis_Toernooi_1969_in_Amsterdam_D._Ralston_%2C_aktie%2C_Bestanddeelnr_922-4467.jpg
Roy Emerson,AUS,1969,26,12,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Roy_Emerson_2011.jpg/330px-Roy_Emerson_2011.jpg
Andres Gimeno,ESP,1969,25,10,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Andr%C3%A9s_Gimeno%2C_Bestanddeelnr_922-4574_%28cropped%29.jpg/330px-Andr%C3%A9s_Gimeno%2C_Bestanddeelnr_922-4574_%28cropped%29.jpg
Richard Pancho Gonzales,USA,1969,18,8,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Pancho_Gonzales.jpg/330px-Pancho_Gonzales.jpg
Gerald Battrick,GBR,1969,7,8,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Internationale_tenniskampioenschappen_te_Hilversum%2C_G_Battrick_met_beker%2C_Bestanddeelnr_924-7801.jpg/330px-Internationale_tenniskampioenschappen_te_Hilversum%2C_G_Battrick_met_beker%2C_Bestanddeelnr_924-7801.jpg
Ken Rosewall,AUS,1969,25,9,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Ken_Rosewall_portrait.jpg/330px-Ken_Rosewall_portrait.jpg
Ray Ruffels,AUS,1969,10,9,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Australian_Institute_of_Sport_coaches_-_Ray_Ruffels.jpg/330px-Australian_Institute_of_Sport_coaches_-_Ray_Ruffels.jpg
