name,country,season_year,matches_won,matches_lost,titles,grand_slams,headshot
Kei Nishikori,JPN,2019,29,14,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Nishikori_RG18_%2856%29_%2842077294635%29.jpg/330px-Nishikori_RG18_%2856%29_%2842077294635%29.jpg
Daniil Medvedev,RUS,2019,59,21,4,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Danill_Medvedev_Miami_2019_%28cropped%29.jpg/330px-Danill_Medvedev_Miami_2019_%28cropped%29.jpg
Jo-Wilfried Tsonga,FRA,2019,33,19,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Tsonga_RG21_%2846%29_%2851376816939%29.jpg/330px-Tsonga_RG21_%2846%29_%2851376816939%29.jpg
Jeremy Chardy,FRA,2019,28,27,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Chardy_RG19_%2816%29_%2848199372621%29.jpg/330px-Chardy_RG19_%2816%29_%2848199372621%29.jpg
Alex De Minaur,AUS,2019,42,20,3,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Alex_de_Minaur_2024.jpg/330px-Alex_de_Minaur_2024.jpg
Milos Raonic,CAN,2019,23,15,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Raonic_WM17_%2854%29_%2835793471790%29.jpg/330px-Raonic_WM17_%2854%29_%2835793471790%29.jpg
Grigor Dimitrov,BUL,2019,23,21,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Grigor_Dimitrov_%282023_DC_Open%29_01.jpg/330px-Grigor_Dimitrov_%282023_DC_Open%29_01.jpg
Taro Daniel,JPN,2019,13,18,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Taro_Daniel_%282025_DC_Open%29_02_%28cropped%29.jpg/330px-Taro_Daniel_%282025_DC_Open%29_02_%28cropped%29.jpg
Andy Murray,GBR,2019,11,7,1,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/2015_Australian_Open_-_Andy_Murray_12_%28cropped%29.jpg/330px-2015_Australian_Open_-_Andy_Murray_12_%28cropped%29.jpg
Miomir Kecmanovic,SRB,2019,24,22,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Kecmanovic_RG21_%2811%29_%2851377164760%29.jpg/330px-Kecmanovic_RG21_%2811%29_%2851377164760%29.jpg
Nick Kyrgios,AUS,2019,23,15,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Kyrgios_WM19_%2875%29_%2848521949772%29.jpg/330px-Kyrgios_WM19_%2875%29_%2848521949772%29.jpg
