name,country,season_year,matches_won,matches_lost,titles,grand_slams,headshot
Edda Buding,FRG,1968,23,12,2,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Tennis_at_Hilversum%2C_ladies_singles_finalist_miss_E._Buding_%28Germany%29.jpg/330px-Tennis_at_Hilversum%2C_ladies_singles_finalist_miss_E._Buding_%28Germany%29.jpg
Valerie Ziegenfuss,USA,1968,38,27,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Valerie_Ziegenfuss_1973.jpg/330px-Valerie_Ziegenfuss_1973.jpg
Julie Heldman,USA,1968,58,17,6,0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Julie_Heldman_1969.jpg/330px-Julie_Heldman_1969.jpg
Rosie Reyes,FRA,1968,25,13,2,0,https://upload.wikimedia.org/wikipedia/en/0/0c/Rosie_Reyes_nf_cropped.jpg
Helga Masthoff,FRG,1968,33,14,5,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Helga_Niessen-Masthoff_1965.jpg/330px-Helga_Niessen-Masthoff_1965.jpg
Kathleen Harter,USA,1968,44,23,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Kathleen_Harter_%281966%29_%28cropped%29.jpg/330px-Kathleen_Harter_%281966%29_%28cropped%29.jpg
Margaret Court,AUS,1968,108,12,15,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Margaret_Court.png/330px-Margaret_Court.png
Kerry Harris,AUS,1968,12,20,0,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Kerry_Harris_1969.jpg/330px-Kerry_Harris_1969.jpg
Rosie Casals,USA,1968,38,23,1,0,https://upload.wikimedia.org/wikipedia/commons/a/a2/Rosie_Casals_1981_%28cropped%29.jpeg
Judy Tegart,AUS,1968,70,21,6,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Judy_Tegart_%281965%29.jpg/330px-Judy_Tegart_%281965%29.jpg
Karen Krantzcke,AUS,1968,50,18,4,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/K._Krautzche_in_actie%2C_Bestanddeelnr_922-6785.jpg/330px-K._Krautzche_in_actie%2C_Bestanddeelnr_922-6785.jpg
