sport,team_abbr,primary_color,secondary_color,full_name
nfl,ARI,#97233F,#000000,Arizona Cardinals
nfl,ATL,#A71930,#000000,Atlanta Falcons
nfl,BAL,#241773,#9E7C0C,Baltimore Ravens
nfl,BUF,#00338D,#C60C30,Buffalo Bills
nfl,CAR,#0085CA,#101820,Carolina Panthers
nfl,CHI,#0B162A,#C83803,Chicago Bears
nfl,CIN,#FB4F14,#000000,Cincinnati Bengals
nfl,CLE,#311D00,#FF3C00,Cleveland Browns
nfl,DAL,#003594,#869397,Dallas Cowboys
nfl,DEN,#FB4F14,#002244,Denver Broncos
nfl,DET,#0076B6,#B0B7BC,Detroit Lions
nfl,GB,#203731,#FFB612,Green Bay Packers
nfl,HOU,#03202F,#A71930,Houston Texans
nfl,IND,#002C5F,#A2AAAD,Indianapolis Colts
nfl,JAX,#101820,#D7A22A,Jacksonville Jaguars
nfl,KC,#E31837,#FFB81C,Kansas City Chiefs
nfl,LV,#000000,#A5ACAF,Las Vegas Raiders
nfl,LAC,#0080C6,#FFC20E,Los Angeles Chargers
nfl,LAR,#003594,#FFA300,Los Angeles Rams
nfl,MIA,#008E97,#FC4C02,Miami Dolphins
nfl,MIN,#4F2683,#FFC62F,Minnesota Vikings
nfl,NE,#002244,#C60C30,New England Patriots
nfl,NO,#D3BC8D,#101820,New Orleans Saints
nfl,NYG,#0B2265,#A71930,New York Giants
nfl,NYJ,#125740,#000000,New York Jets
nfl,PHI,#004C54,#A5ACAF,Philadelphia Eagles
nfl,PIT,#FFB612,#101820,Pittsburgh Steelers
nfl,SEA,#002244,#69BE28,Seattle Seahawks
nfl,SF,#AA0000,#B3995D,San Francisco 49ers
nfl,TB,#D50A0A,#34302B,Tampa Bay Buccaneers
nfl,TEN,#0C2340,#4B92DB,Tennessee Titans
nfl,WAS,#5A1414,#FFB612,Washington Commanders
nba,ATL,#E03A3E,#C1D32F,Atlanta Hawks
nba,BOS,#007A33,#BA9653,Boston Celtics
nba,BKN,#000000,#888888,Brooklyn Nets
nba,CHA,#1D1160,#00788C,Charlotte Hornets
